,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,_Basement,_Garage,_Pool,_Fence,_Porch,_New,_Old,_Remodeled,_NormalSale,TotalSF,TotalFloorSF,TotalPorchSF
0,60,RL,-0.21500312636966717,-0.10880444216566247,2,0,1,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.0053556508023842,4,3,PConc,4,3,1,6,0.8097030474643951,1,-0.33072397395520653,-2.4572926660926755,-0.46338502170930507,GasA,5,1,SBrkr,-1.2502211389306008,1.2180759639747385,-0.12958192165497825,0.4681947001179704,1.0,0.0,2,1,3,1,4,8,10,0,0,Attchd,2003.0,2,2.0,0.41373209911442965,3,3,3,-0.9055454855187388,0.6837588815446987,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,2,2008,WD,Normal,1,1,0,0,1,1,0,0,1,0.16813819633811056,0.4656203765257709,0.19871795290835756
1,20,RL,0.580163481985191,0.1304019976056754,2,0,1,Lvl,4,FR2,1,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,-0.7329760372608447,3,3,CBlock,4,3,4,5,0.9810931574033572,1,-0.33072397395520653,-0.7476170225124642,0.6105752037741435,GasA,5,1,SBrkr,0.44460953487951876,-0.8574509766170547,-0.12958192165497825,-0.5691352534829779,0.0,1.0,2,0,3,1,3,6,10,1,3,Attchd,1976.0,2,2.0,0.06027084237265535,3,3,3,1.46433216550726,-0.9714897563398387,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,5,2007,WD,Normal,1,1,0,0,0,0,0,0,1,0.11477375736753752,-0.4984626536420411,-1.2405541200134498
2,60,RL,-0.010621493755977405,0.4252422421500711,2,0,2,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.8227875200765826,4,3,PConc,4,3,2,6,0.6145280145501341,1,-0.33072397395520653,-0.13800464379963437,-0.20619700502176697,GasA,5,1,SBrkr,-0.697712988639359,1.229208744712878,-0.12958192165497825,0.5751098594845193,1.0,0.0,2,1,3,1,4,6,10,1,3,Attchd,2001.0,2,2.0,0.5973120798737932,3,3,3,-0.9055454855187388,0.36915873560575624,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,9,2008,WD,Normal,1,1,0,0,1,1,0,1,1,0.32805427058895137,0.5651421225859858,-0.06924959428845617
3,70,RL,-0.6532653002110822,0.12064969815814108,2,0,2,Lvl,4,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.7329760372608447,3,3,BrkTil,3,4,1,5,0.19793499826449204,1,-0.33072397395520653,0.1323414838074729,-1.0529115371228395,GasA,4,1,SBrkr,-0.46234154963864194,1.1214718542685314,-0.12958192165497825,0.47850325717789305,1.0,0.0,1,0,3,1,4,7,10,1,4,Detchd,1998.0,1,3.0,0.6877696373284938,3,3,3,-0.9055454855187388,0.22798508205659057,3.361171559483745,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,2,2006,WD,Abnorml,1,1,0,0,1,0,1,1,0,0.04594011005958114,0.47521518526399725,1.5771537226099146
4,60,RL,0.7281626836587455,0.8617195382697094,2,0,2,Lvl,4,FR2,1,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.619234367851717,4,3,PConc,4,3,3,6,0.7703955074944562,1,-0.33072397395520653,0.01467872963336754,0.3944376200331026,GasA,5,1,SBrkr,0.18604198403252234,1.386653107908997,-0.12958192165497825,1.0195088887938495,1.0,0.0,2,1,4,1,4,9,10,1,3,Attchd,2000.0,2,3.0,1.0864730242617469,3,3,3,1.0739875691654062,0.9775053770325349,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,12,2008,WD,Normal,1,1,0,0,1,0,0,0,1,0.8438101792045269,0.9789959404726123,0.4476736920486945
5,50,RL,0.7625882166562585,0.8429954968367733,2,0,2,Lvl,4,Inside,1,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,-0.7329760372608447,3,3,Wood,4,3,1,6,0.8286806317411037,1,-0.33072397395520653,,-0.7773988781619648,GasA,5,1,SBrkr,-2.557264241834594,0.8972567686568649,-0.12958192165497825,-0.2354534262969651,1.0,0.0,1,1,1,1,3,5,10,0,0,Attchd,1993.0,1,2.0,0.15261822942255482,3,3,3,-0.07452156050965691,0.11557776832295516,-0.3904404814494823,9.334127016252953,-0.2879078912870303,-0.06933327002303867,0,MnPrv,Shed,4.111870187128995,10,2009,WD,Normal,1,1,0,1,1,0,0,1,1,-0.5317047872955574,-0.18872364522728402,1.6982864983975188
6,20,RL,0.36664560766241694,0.2221153337269774,2,0,1,Lvl,4,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,0.954134697322992,4,3,PConc,5,3,3,6,1.1587022601654853,1,-0.33072397395520653,-0.5744835596276773,1.1556377411993648,GasA,5,1,SBrkr,1.0416140563614804,-0.8574509766170547,-0.12958192165497825,0.4442508026910386,1.0,0.0,2,0,3,1,4,7,10,1,4,Attchd,2004.0,2,2.0,0.6724057963108673,3,3,3,1.323737606304483,0.6241948885606006,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,8,2007,WD,Normal,1,1,0,0,1,1,0,1,1,0.8670042210407027,0.44333507978123016,0.14810043032274164
7,60,RL,0.11206446514810021,0.27629790973365437,2,0,2,Lvl,4,Corner,1,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,1.2104455558517935,3,3,CBlock,4,3,2,5,0.9127648208023011,4,0.18906140228748547,-1.2606487462359193,0.3137442561686453,GasA,5,1,SBrkr,0.0840019288001171,1.3309597806274713,-0.12958192165497825,0.9197311327896397,1.0,0.0,2,1,3,1,3,7,10,2,3,Attchd,1973.0,2,2.0,0.17008007187016733,3,3,3,1.2509698593874046,1.8776043503219952,3.085243540146685,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,Shed,2.456259915248044,11,2009,WD,Normal,1,1,0,0,1,0,0,0,1,0.7467094686959578,0.8860536635676212,1.8943978956828011
8,50,RM,-2.404062181767933,-0.7236919100177658,2,0,1,Lvl,4,Inside,1,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,-0.7329760372608447,3,3,BrkTil,3,3,1,1,-1.361024631763559,1,-0.33072397395520653,0.7640242576873318,-0.09749088109653492,GasA,4,1,FuseF,-0.1946880552196524,1.1172945718057763,-0.12958192165497825,0.5589257338660106,0.0,0.0,2,0,2,2,3,8,7,2,3,Detchd,1931.0,1,2.0,0.09826853271699987,2,3,3,0.46039092737881215,-0.9714897563398387,2.9223129812999717,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,4,2008,WD,Abnorml,1,1,0,0,1,0,0,1,0,0.3489654308600125,0.5500758851111384,1.2099943134988485
9,190,RL,-2.920146403211564,-0.3546462026783059,2,0,1,Lvl,4,Corner,1,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.7329760372608447,3,3,BrkTil,3,3,1,6,0.9078416906109409,1,-0.33072397395520653,-2.9380164179157746,0.021677345639459313,GasA,5,1,SBrkr,-0.005207649189627154,-0.8574509766170547,-0.12958192165497825,-1.7847281011825475,1.0,0.0,1,0,2,2,3,5,10,2,3,Attchd,1939.0,2,1.0,,4,3,3,-0.9055454855187388,-0.7539689556947925,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,1,2008,WD,Normal,1,1,0,0,1,0,0,1,1,-0.7832199887293368,-1.6205113121294528,-1.0455719946072213
10,20,RL,0.1092127813729865,0.4169957756638269,2,0,1,Lvl,4,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,-0.7329760372608447,3,3,CBlock,3,3,1,3,0.940805555953126,1,-0.33072397395520653,-3.4279562412546136,0.15482547033796595,GasA,5,1,SBrkr,-0.12837182587337007,-0.8574509766170547,-0.12958192165497825,-2.3762178201408823,1.0,0.0,1,0,3,1,3,5,10,0,0,Detchd,1965.0,1,1.0,-0.40233641798612685,3,3,3,-0.9055454855187388,-0.9714897563398387,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,2,2008,WD,Normal,1,1,0,0,0,0,0,0,1,-0.7458417518517798,-2.1595277569309816,-1.2405541200134498
11,60,RL,0.7625882166562585,0.5327954273585024,2,0,2,Lvl,4,Inside,1,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,1.3964032964756377,5,3,PConc,5,3,1,6,0.9917648163832102,1,-0.33072397395520653,-1.7768412132171363,0.4541275234229667,GasA,5,1,SBrkr,0.2757575005751209,1.4527291643464848,-0.12958192165497825,1.1252086221000508,1.0,0.0,3,0,4,1,5,11,10,2,4,BuiltIn,2005.0,3,3.0,0.9013149350825655,3,3,3,0.8477692377373155,-0.1187794624202948,-0.3904404814494823,-0.12636716806154846,-0.2879078912870303,-0.06933327002303867,0,None,None,-0.16447693935528468,7,2006,New,Partial,1,1,0,0,1,1,0,1,0,0.938184475589243,1.0774664924526338,-0.4886765982235502
